stretch_id	source	log_file	frame_start	frame_end	log_start	log_end	task_context	visible_timeline	transition_points	machine_label_verdict	confidence	notes
2026-03-20-reward-to-research-01	data/raw_stream	vendor/AzurLaneAutoScript/log/2026-03-20_PatrickCustom.txt	20260320_002340_062.png	20260320_002356_700.png	2026-03-20 00:23:40.304	2026-03-20 00:23:56.881	Research task / reward claim	page_reward/status hub -> page_main -> page_reshmenu -> page_research/details -> overlay_get_items over research	reward->main at ~00:23:40.314; main->reshmenu at ~00:23:44.243; reshmenu->research by ~00:23:49.203; research->overlay_get_items between ~00:23:50.369 and ~00:23:53.707	direct visual review confirmed the sequence; no trusted prior labels remain for this stretch	0.89	Direct image review: 002340_062 is the reward/status hub with Commissions/Tactical Class/Research Academy cards, 002344_052 is main/home, 002346_752 is the Technology menu, 002348_990 and 002350_147 are research pages, and 002353_526 plus 002356_700 are the Item Found overlay. GET_ITEMS_1 behaves like a reusable overlay rather than a new destination page.
2026-03-20-stuck-get-items-01	data/raw_stream	vendor/AzurLaneAutoScript/log/2026-03-20_PatrickCustom.txt	20260320_002410_732.png	20260320_002500_895.png	2026-03-20 00:24:10.871	2026-03-20 00:25:00.700	Research reward claim	overlay_get_items (static, unchanging for entire 50s window)	none — state is frozen on the same overlay	ALAS correctly identified GET_ITEMS_1 throughout but could not dismiss it; failure is action execution not classification	0.95	All 17 frames show identical Item Found overlay: Rupprecht Blueprint, Bofors STAAG, A6M5 Zero, Torpedo. Tap to continue visible but tap failed. After ~40s Wait too long -> GameStuckError -> forced restart. Stuck-on-known-overlay failure class, distinct from classification failure. Recovery class: stuck_action.
2026-03-20-black-frame-recovery-01	data/raw_stream	vendor/AzurLaneAutoScript/log/2026-03-20_PatrickCustom.txt	20260320_022828_848.png	20260320_022958_305.png	2026-03-20 02:28:20.800	2026-03-20 02:29:58.305	Post-restart recovery / login	publisher_splash (YONGSHI/MANJUU/YOSTAR) -> page_main (Kruzer lv143, full nav bar, chat)	splash at ~02:28:28; main page arrived by ~02:29:14; main page stable with chat/dialogue from ~02:29:49	log shows repeated DroidCast pure black screenshot warnings before first frame, then Device Orientation checks and LOGIN_ANNOUNCE_2 click; log does not name visual states during splash->main transition	0.90	First frame is game boot splash screen. By second frame full main page visible. DroidCast black frames preceded the visible sequence. Recovery class: restart_login. States observed: publisher_splash, page_main.
2026-03-20-exercise-meowfficer-01	data/raw_stream	vendor/AzurLaneAutoScript/log/2026-03-20_PatrickCustom.txt	20260320_023151_138.png	20260320_023236_683.png	2026-03-20 02:31:50.617	2026-03-20 02:32:37.076	Commission task start / exercise aftermath	exercise_victory (PERFECT S, opponent Maszeg) -> page_exercise (4 opponents, Rear Admiral rank) -> page_meowfficer (8 cats, 960 EXP earned) -> overlay_get_items (Rare Cat Box)	victory at ~02:31:51; exercise page by ~02:32:00; meowfficer by ~02:32:14; item found by ~02:32:32	ALAS logged Unknown ui page 20+ times. Every state was visually clear and identifiable. Total classification failure across 4 distinct states.	0.92	Most valuable window. 4 distinct states all logged as Unknown. Exercise victory shows PERFECT S with opponent name. Exercise page shows opponents with fleet power and rank info. Meowfficer shows 8 cat officers with nap/EXP message. Item Found shows Rare Cat Box. All visually distinctive. Recovery class: none (this is normal flow that ALAS could not classify).
2026-03-20-commission-tab-switch-01	data/raw_stream	vendor/AzurLaneAutoScript/log/2026-03-20_PatrickCustom.txt	20260320_023430_320.png	20260320_023447_987.png	2026-03-20 02:34:30.443	2026-03-20 02:34:47.987	Commission scan / tab switching	commission_daily (4 daily commissions: Oil Extraction, Defense Exercise, Resource Extraction, Tactical Research) -> commission_urgent (4 urgent: NYB Gear Research, Frontier Defense Patrol, Oil Extraction III, Buoy Inspection + LIMITED countdown)	daily tab at ~02:34:30; urgent tab by ~02:34:43	ALAS Commission_switch bounced between daily/urgent/unknown rapidly; tab state is visually obvious but ALAS detection was unreliable	0.93	Tab state is clearly distinguishable: DAILY has blue icon, URGENT has golden glow icon, and commission lists are entirely different. ALAS struggled specifically with tab-indicator detection, not page identification. Substate discrimination failure rather than page-level failure.
2026-03-20-popup-network-to-reward-01	data/raw_stream	vendor/AzurLaneAutoScript/log/2026-03-20_PatrickCustom.txt	20260320_002241_384.png	20260320_002253_364.png	2026-03-20 00:22:39.759	2026-03-20 00:22:53.680	Commission start / popup recovery	popup_network_error (ConnectionReset dialog with Cancel/Confirm over dimmed page_os) -> page_reward (status hub with Canteen/Munition/Lecture Hall, Commissions/Tactical/Research cards)	popup visible at ~00:22:41; reward hub visible by ~00:22:49	ALAS identified page_os at 00:22:44 and navigated page_os -> page_main -> page_reward; popup was not explicitly logged as a named event	0.88	First frame shows Info dialog: Network connection failed. Reconnect now? [ConnectionReset] over dimmed map background (likely page_os/operation siren). Later frames show status hub with building icons (Canteen 864, Munition pd296, Lecture Hall EXP) and three task cards. New states: popup_network_error, page_reward/status_hub. Recovery class: popup_blocking.
2026-03-20-login-sequence-01	data/raw_stream	vendor/AzurLaneAutoScript/log/2026-03-20_PatrickCustom.txt	20260320_002500_895.png	20260320_002553_414.png	2026-03-20 00:25:00.700	2026-03-20 00:25:53.568	Post-GameStuckError restart and login	publisher_splash (YONGSHI/MANJUU/YOSTAR) -> loading_screen (Northern Parliament / Avrora, Update complete. Loading game...) -> title_screen (Azur Lane logo, PRESS TO START, Twitter/Facebook/Yostar links) -> popup_announcements (Event/System/News tabs, 3/19 Update patch note, Project Identity 3.0)	splash at ~00:25:08; loading by ~00:25:22; title screen by ~00:25:34; announcements by ~00:25:53	ALAS logged APP RESTART, APP LOGIN, LOGIN_CHECK clicks, LOGIN_ANNOUNCE_2 click; log correctly tracked the login macro but did not name individual visual states	0.91	Full login sequence with 4 distinct states. Loading screen shows random faction art (Northern Parliament / Avrora). Title screen has social media links and PRESS TO START. Announcements popup has 3 tabs and sidebar navigation. All visually distinctive. States observed: publisher_splash, loading_screen, title_screen, popup_announcements.
2026-03-23-login-check-01	data/raw_stream	vendor/AzurLaneAutoScript/log/2026-03-23_alas.txt	20260323_171545_844.png	20260323_171549_110.png	2026-03-23 17:12:04.042	2026-03-23 17:15:49.142	Restart login / initial check	login_check (welcome screen showing 01:15 clock, 4 teams back from commission, 6 research completed, 4 ships finished training) -> black_frames (DroidCast failure) -> page_main (Kruzer lv143, full nav bar)	login check at ~17:15:45; black frames interspersed; main page by ~17:15:49	ALAS logged LOGIN_CHECK and LOGIN_ANNOUNCE_2 clicks then GET_SHIP click then UI page_main; login check screen itself was not named as a state	0.85	Login check/welcome screen shows game clock, pending notifications (commissions, research, training), and battery. Most frames in this range are DroidCast black frames. Main page visible by 17:15:49 with different resource counts than 03-20 sessions. Lower confidence due to black frame contamination in the window.
2026-03-20-attack-menu-01	data/raw_stream	vendor/AzurLaneAutoScript/log/2026-03-20_PatrickCustom.txt	20260320_023004_733.png	20260320_023015_618.png	2026-03-20 02:29:53.949	2026-03-20 02:30:15.618	Post-recovery navigation	page_attack (Attack header, Main Campaign tile, Operation Siren tile, No Active Event, bottom tabs: War Archives / Challenge Mode / Daily Raids / Commissions / Exercises)	page_attack visible by ~02:30:04; stable for multiple frames	ALAS logged GOTO_MAIN clicks at 02:29:53 and 02:30:07; the attack page is a known navigation waypoint but appeared here during GOTO_MAIN flow	0.90	Clearly the battle/combat menu page. Shows Main Campaign and Operation Siren as primary options. Bottom tab bar has 5 combat categories. Resource bar visible at top. This page is a top-level navigation hub distinct from page_main. New state: page_attack.
2026-03-20-research-academy-01	data/raw_stream	vendor/AzurLaneAutoScript/log/2026-03-20_PatrickCustom.txt	20260320_023502_822.png	20260320_023519_359.png	2026-03-20 02:34:50.969	2026-03-20 02:35:19.359	Research task / queue management	page_research_academy (5 research project slots: H-387-MI Cube Analysis, T-384-MI Commission, Q-389-MI Rigging Analysis Queued, Q-386-MI Cognition, G-236-MI Grant Duration) -> page_main (different secretary ship, blonde with guns, Today's Conducting Practice banner)	research academy at ~02:35:02; main page by ~02:35:19	ALAS navigated page_commission -> page_main -> page_reshmenu -> page_research and showed research queue; ALAS correctly identified this navigation chain	0.91	Research Academy shows 5 project cards with type labels (Cube Analysis, Commission, Rigging Analysis, Cognition, Grant Duration), PICK UP badges, duration timers, and Queued status. Research Focus and Refresh buttons at bottom. Main page after shows different secretary ship than earlier sessions confirming visual variability. New state: page_research_academy.
